Id	Description	Qty	Unit	Designators
1	Cable, 1 x 18 AWG	0.1	m	W_PE
2	Cable, 2 x 18 AWG	0.2	m	W_PWRIN
3	Cable, 3 x 18 AWG	0.28	m	W_MAINS
4	Cable, 4 x 22 AWG	15.19	m	W_FEEDERS_PWR, W_HEAD_L, W_HEAD_R, W_LED, W_LEDBOT, W_PUMP, W_SOL_BLO, W_SOL_VAC, W_X, W_Y1, W_Y2, W_Z
5	Cable, 4 x 24 AWG shielded	3.5	m	W_CAM_BOT, W_CAM_HEAD, W_FEEDERS
6	Connector, 4 pins	1		USB_FEEDERS
7	Connector, IEC, 3 pins	1		IEC
8	Connector, JST, XH, female, 2 pins	3		END_CON, END_HEAD, LED_HEAD
9	Connector, JST, XH, female, 4 pins	14		MOTOR_L_CON, MOTOR_L_HEAD, MOTOR_R_CON, MOTOR_R_HEAD, MOTOR_X_CON, MOTOR_X_PLUG, MOTOR_Y1_CON, MOTOR_Y1_PLUG, MOTOR_Y2_CON, MOTOR_Y2_PLUG, MOTOR_Z_CON, MOTOR_Z_HEAD, USB_BOT, USB_HEAD
10	Connector, Pad, 2 pins	1		LED_BOT
11	Connector, Ring crimp, GNYE	1		
12	Connector, Screw terminal, 2 pins	9		CORE_24V, CORE_LED1OUT, CORE_LED2OUT, CORE_PUMP, CORE_SOL_BLO1, CORE_SOL_BLO2, CORE_SOL_VAC1, CORE_SOL_VAC2, PWRIN_FEEDERS
13	Connector, Screw terminal, 4 pins	1		CORE_12VOUT
14	Connector, Screw terminal, 5 pins	1		PSU
15	Connector, USB, A, male, 4 pins	3		CORE_USB2, CORE_USB3, USB_CON
16	Connector, solder, 2 pins	5		PUMP, SOL_BLO1, SOL_BLO2, SOL_VAC1, SOL_VAC2
17	Crimp, SXH-001T-P0.6, 22-28 AWG	62		END_CON, END_HEAD, LED_HEAD, MOTOR_L_CON, MOTOR_L_HEAD, MOTOR_R_CON, MOTOR_R_HEAD, MOTOR_X_CON, MOTOR_X_PLUG, MOTOR_Y1_CON, MOTOR_Y1_PLUG, MOTOR_Y2_CON, MOTOR_Y2_PLUG, MOTOR_Z_CON, MOTOR_Z_HEAD, USB_BOT, USB_HEAD
18	Faston, Female	3		IEC
