Designator,X,Y,Rotation,Side,Value,Footprint,Comment
C17,96.478,31.512,270,Top,159,C_0603,CL10A226MP8NUNE
C18,98.303,31.512,270,Top,159,C_0603,CL10A226MP8NUNE
C16,101.411,34.733,90,Top,165,C_0603,CL10B221KB8NNNC
C15,101.662,40.363,90,Top,52,C_0402,CL05B104KO5NNNC
C19,107.011,38.389,270,Top,162,C_0603,CL10A106MA8NRNC
C8,73.921,45.339,0,Top,52,C_0402,CL05B104KO5NNNC
C11,73.35,36.331,270,Top,160,C_0402,GRM1555C1H471JA01D
C9,67.036,44.221,0,Top,169,C_1206,GRM31CR61H106KA12L
C10,67.063,46.609,0,Top,169,C_1206,GRM31CR61H106KA12L
C12,84.582,32.022,90,Top,158,C_1210,GRM32ER61C476KE15L
C13,77.274,33.934,0,Top,169,C_1206,GRM31CR61H106KA12L
C14,75.445,41.148,270,Top,167,C_0603,CL10A475KA8NQNC
L1,97.092,37.91,270,Top,163,"SMD,7.1x6.6mm",SL0630-3R3M
LED3,101.064,56.037,270,Top,15,LED_0805,NCD0805R1
R16,102.934,34.862,270,Top,153,R_0402,RC0402FR-07100KL
R18,104.077,34.862,90,Top,164,R_0402,RC0402FR-0722K1L
R15,105.817,35.391,0,Top,107,R_0402,RC0402FR-0710KL
R17,101.092,53.213,0,Top,101,R_0402,RC0402FR-071KL
R9,72.183,36.4,90,Top,153,R_0402,RC0402FR-07100KL
R10,72.77,38.268,180,Top,101,R_0402,RC0402FR-071KL
R12,67.317,39.751,270,Top,107,R_0402,RC0402FR-0710KL
R8,67.317,41.91,270,Top,153,R_0402,RC0402FR-07100KL
R14,74.937,38.735,180,Top,168,R_0402,RC0402FR-07360KL
R13,70.714,38.213,0,Top,156,R_0402,0402WGF1372TCE
U5,104.077,38.418,0,Top,139,SOT-23-6,SY8156IADC
U3,72.143,41.783,180,Top,166,QFN-20,SY8308RBC
U4,80.497,41.698,270,Top,161,"SMD,9.2x8mm",CYA0850-3.3UH
C1,45.466,45.72,0,Top,52,C_0402,CL05B104KO5NNNC
C4,44.895,36.712,270,Top,160,C_0402,GRM1555C1H471JA01D
C2,38.581,44.602,0,Top,169,C_1206,GRM31CR61H106KA12L
C3,38.608,46.99,0,Top,169,C_1206,GRM31CR61H106KA12L
C5,56.127,32.403,90,Top,158,C_1210,GRM32ER61C476KE15L
C6,48.819,34.315,0,Top,169,C_1206,GRM31CR61H106KA12L
C7,46.99,41.529,270,Top,167,C_0603,CL10A475KA8NQNC
R6,42.258,38.594,0,Top,157,R_0402,FRC0402F5231TS
R2,43.727,36.781,90,Top,153,R_0402,RC0402FR-07100KL
R4,44.315,38.649,180,Top,101,R_0402,RC0402FR-071KL
R5,38.862,40.132,270,Top,107,R_0402,RC0402FR-0710KL
R1,38.862,42.291,270,Top,153,R_0402,RC0402FR-07100KL
R7,46.482,39.116,180,Top,168,R_0402,RC0402FR-07360KL
U1,43.688,42.164,180,Top,166,QFN-20,SY8308RBC
U2,52.042,42.079,270,Top,161,"SMD,9.2x8mm",CYA0850-3.3UH
LED1,51.763,56.927,0,Top,15,LED_0805,NCD0805R1
LED2,78.56,57.054,0,Top,15,LED_0805,NCD0805R1
R19,54.593,56.947,270,Top,107,R_0402,RC0402FR-0710KL
R11,81.39,57.074,90,Top,101,R_0402,RC0402FR-071KL
