"id","seller_code","manufacturer_code","smd_footprint"
1,"815-ABS06-32.7K-9-T",ABS06-32.768KHZ-9-1-T,ABS06_XTAL
2,"485-4078","4078",ADA_4078
3,C579456,ADXL345BCCZ,LGA_14
4,C910830,BSMD1206-100-24V,FUSE_1206
5,"611-JS102011JCBN",JS102011JCBN,SWITCH_5
6,"526-BNO086",BNO086,LGA-28
9,C224996,DHN-04-V-T/R,DIP_DHN04
10,C3013946,ESP32-S3-WROOM-1U-N16R8,ESP32S3_1U
11,C2892765,"95-21SUGC/S400-A4/TR7",LED_SMD2_GULLWING
13,C5137614,FCC0805N220J500BT,C_0805
14,C727903,FM-3510RGBA-SG,LED_CUST_3510
15,C84256,NCD0805R1,LED_0805
16,C84260,NCD0805G1,LED_0805
17,C132160,FT231XS-R,SSOP-20
18,C3019721,GT-USB-9014B,SMD_USB_9014
20,C7432139,PCF8575MS/TR,SSOP-24
22,C296298,HX2301A,SOT-23
24,C2763184,"920-F62A2021S10104",USB_CONN_920
25,C709037,"918-518K2023S50001",USB_CONN_918
29,C262669,AFC01-S24FCA-00,"FPC24_0,5"
31,"80-C1206Y104K9R",C1206Y104K9RACTU,C_1206
32,C427382,AO3400,SOT-23
33,C112161,ATMEGA32U4-MU,VQFN-44-EP
34,C44854,ATMEGA32U4-AU,QFP-44
35,C478383,ME4054BM5G-N,SOT-23-5
36,C53099,ME6211C28M5G-N,SOT-23-5
37,C53100,ME6211C15M5G-N,SOT-23-5
42,"946-MP2603EJLFZ",MP2603EJ-LF-Z,TSOT-23-5
43,C2858031,GRM155R61E475ME15D,C_0402
44,"771-PCA9698DGG512","PCA9698DGG,512",TSSOP-56
45,C963349,B3U-3000P,SWITCH_B3U
46,C258182,"1N4148",DO-35
47,C2890037,SK6812SIDE-A-RVS,SK6812_SIDE
48,C2909056,SK6805MICRO-J,LED_2427
49,"667-EXB-V8V103JV",EXB-V8V103JV,"0603_4x"
50,"667-EXB-V8V472JV",EXB-V8V472JV,"0603_4x"
51,"769-AQY280S",AQY280S,SOP-4
52,C1525,CL05B104KO5NNNC,C_0402
53,C24123,CL21B105KOFNNNE,C_0805
54,C28234,CL21B225KOFNNNE,C_0805
55,C448647,FTSH-105-01-L-DV-K-TR,CONN_SWD_10P
56,C5156716,MMBT3904,SOT-23
58,C479072,SY8088IAAC,SOT-23-5
59,C2904393,SLSS49E-3,SOT-23
60,C167267,CDRH2D14NP-2R2NC,"L_3x3x1,4"
61,C3835503,AMK212BBJ107MG-T,C_0805
62,C92786,JMK212BJ106KD-T,C_0805
63,C92788,JMK212BJ475KG-T,C_0805
64,"810-C1608X5R1A106K",C1608X5R1A106K,C_0603
65,"810-C2012X5R1A336M",C2012X5R1A336M,C_0805
66,C136243,TFM201610GHM-2R2MTAA,L_0806
67,C28060,TPS63001DRCR,VSON-10-EP
68,C882787,LM3674MFX-ADJ/NOPB,SOT-23-5
69,C424699,XC6206P122MR-G,SOT-23-5
70,C382139,TP4056,ESOP-8
71,C727156,AO3401,SOT-23
72,C325375,RMC040212.4K1%N,R_0402
74,C17408,"0805W8F1000T5E",R_0805
75,C17414,"0805W8F1002T5E",R_0805
76,C17477,"0805W8F0000T5E",R_0805
77,C17513,"0805W8F1001T5E",R_0805
78,C17514,"0805W8F1004T5E",R_0805
79,C17604,"0805W8F2001T5E",R_0805
80,C17673,"0805W8F4701T5E",R_0805
81,C17709,"0805W8F4703T5E",R_0805
82,C17710,"0805W8F4700T5E",R_0805
83,C17797,"0805W8F6803T5E",R_0805
84,C29718,"4D03WGJ0103T5E","0603_4x"
85,C1954175,TMCP1A475MTRF,C_0805
86,C413465,VS-10BQ015HM3/5BT,DO-214AA
87,C844973,IHLP1616ABER2R2M11,L_1616
88,C172131,WR04X8063FTL,R_0402
89,C387959,"0402X104K500CT",C_0402
90,C14267,CH340G,SOP-16
91,C318884,TS-1187A-B-A-B,SWITCH_1187A
92,"603-RT1206FRD0710KL",RT1206FRD0710KL,R_1206
93,"603-RT1206FRE07270RL",RT1206FRE07270RL,R_1206
94,C107115,CC0805JRNPO9BN330,C_0805
95,C107118,CC0805JRNPO9BN470,C_0805
96,C108406,RC0805JR-0722RL,R_0805
97,C138014,RC0402FR-072ML,R_0402
98,C138021,RC0402FR-0727RL,R_0402
99,C163408,RC0805FR-0727RL,R_0805
100,C228904,AC0805FR-07562KL,R_0805
101,C2935237,RC0402FR-071KL,R_0402
102,C327053,YC164-JR-070RL,"0603_4x"
103,C49678,CC0805KRX7R9BB104,C_0805
104,C519919,CC0805JRNPO9BN140,C_0805
105,C519942,CC0805CRNPO9BN6R8,C_0805
106,C526985,CC0402GRNPO9BN120,C_0402
107,C60490,RC0402FR-0710KL,R_0402
108,C726587,AC0805KRX7R0BB102,C_0805
109,C96346,RC0805FR-07100KL,R_0805
110,C2682778,X201616MOB4SI,XTAL_2016
111,C70565,X322512MOB4SI,XTAL_3225-4P
112,C9006,X322525MOB4SI,XTAL_3225-4P
113,C434433,SZYY0805B,LED_0805
114,C434436,SZYY0805Y,LED_0805
115,C434441,SZYY1206W,LED_1206
116,C2892669,XC6206-2.8V,SOT-23-3L
118,C9900003354,APS6404L-3SQR-SN,SOP-8
119,C2969989,STM32F042F6P6TR,TSSOP-20
120,C15999,USBLC6-2P6,SOT-666-6
121,C253528,RUM001L02T2CL,SOT-723
122,C965555,WS2812B-2020,LED_2020
123,C228947,AC0805FR-07649RL,R_0805
125,C84367,"1N4148W",SOD-123
128,C17774,"0805W8F680KT5E",R_0805
129,C5980,"74HCT245PW,118",TSSOP-20
136,C42419935,XF-508PVS-B-B-R,XF-508PVS-B-B-R
139,C5440953,SY8156IADC,SOT-23-6
140,C132230,ATMEGA328PB-AU,TQFP-32(7x7)
141,C3038057,GZP6897D2.5KPW,SOP-8
142,C409345,A308000003,XTAL-3225-2P
143,C107107,CC0805JRNPO9BN100,C_0805
144,C415994,SE3578,SOP-8-EP
145,C17633,"0805W8F3302T5E",R_0805
146,C22463806,SL0420-2R2M,"SMD,4.5x4.1mm"
147,C622611,USB2422T/MJ,QFN-24-EP(4x4)
148,C25905,"0402WGF5101TCE",R_0402
150,C138033,RC0402FR-071ML,R_0402
151,C52923,CL05A105KA5NQNC,C_0402
152,C25752,"0402WGF1202TCE",R_0402
153,C60491,RC0402FR-07100KL,R_0402
154,C524558,GJM1555C1H140GB01D,C_0402
155,C70590,X322524MOB4SI,XTAL-3225-4P
156,C25854,"0402WGF1372TCE",R_0402
157,C2933105,FRC0402F5231TS,R_0402
158,C77101,GRM32ER61C476KE15L,C_1210
159,C86295,CL10A226MP8NUNE,C_0603
160,C76971,GRM1555C1H471JA01D,C_0402
161,C19268642,CYA0850-3.3UH,"SMD,9.2x8mm"
162,C96446,CL10A106MA8NRNC,C_0603
163,C22463820,SL0630-3R3M,"SMD,7.1x6.6mm"
164,C163478,RC0402FR-0722K1L,R_0402
165,C1603,CL10B221KB8NNNC,C_0603
166,C7427429,SY8308RBC,QFN-20
167,C69335,CL10A475KA8NQNC,C_0603
168,C163471,RC0402FR-07360KL,R_0402
169,C77092,GRM31CR61H106KA12L,C_1206
170,"595-TUSB8041IPAPRQ1",TUSB8041IPAPRQ1,HTQFP-64
172,"71-RCWE1210R120FKEA",RCWE1210R120FKEA,R_1210
175,C20071191,F136-1104S3CMUB2,HDR_4x1_Bottom
176,C130026,TCA9548APWR,TSSOP-24
177,"",PG1350,PG1350
178,C179171,W25Q64JVSSIQ,SOIC-8-208
179,C2040,RP2040,LQFN-56
180,C5149201,SK6812MINI-E,SK6812_MINI_E
181,C36365,SN74AHCT125PWR,TSSOP-14
182,C6186,AMS1117-3.3,SOT-223
183,C496619,SIT65HVD230DR,SOP-8
184,C13585,CL31A106KBHNNNE,C_1206
185,C511707,SKY-1475-0540-45P7.6,BUZZ_1475
186,C3344,RVT1V470M0605,C_6.6x6.6
189,C2683198,VLS252012CX-150M-1,L_1008
190,C105870,RC0402JR-074K7L,R_0402
191,C114944,RC1206FR-07330RL,R_1206
192,C110021,YC164-FR-071KL,"0603_4x"
193,C57453,DSIC03LSGET,SMD_DIP_2.54_3P
197,C77092,GRM31CR61H106KA12L,C_1206
199,C437568,GRM32ER71J106KA12L,C_1210
200,C96123,CL31A476MPHNNNE,C_1206
202,C1705,CL10A475KP8NNNC,C_0603
203,C92361,CL05A474KA5NNNC,C_0402
204,C106200,CC0402JRNPO9BN101,C_0402
205,C114405,CC0402KRX7R9BB153,C_0402
209,C3279524,SIR680LDP-T1-RE3,SO-8_PWR
212,C844406,CRCW08052M00FKEA,R_0805
213,C107700,RC0805FR-071ML,R_0805
214,C104407,RTT055604FTP,R_0805
215,C172058,WR04X3653FTL,R_0402
216,C17629,"0805W8F3303T5E",R_0805
217,C727961,AC0603DR-07300KL,R_0603
218,C2906867,FRC0402F2002TS,R_0402
219,C319480,AR03DTDX7502,R_0603
220,C122538,RT0603BRD07100KL,R_0603
221,C114761,RC0402FR-0715KL,R_0402
222,C60488,RC0402FR-072KL,R_0402
224,C673802,LT8390EFE#TRPBF,HTSSOP-28
227,C16902,BLM31PG601SN1L,L_1206
229,C46538024,MGH303A1T3,SOT-23-3
230,C22384789,SN74HC165DR(LX),SOP-16
231,C42322,SN74HC125DR,SOIC-14
234,C22435908,"2920L300/36GR",F_2920
235,C9900009419,LM1117-3.3,SOT-223
236,C277944,ESP32-S,ESP32-S
239,C224008,SMBJ13CA,SMB
242,C2932176,PSCLAQ0904B-472Z,FILTER_4P_9055
243,C82868,RC0402FR-0722KL,R_0402
244,C7422574,CA-IS3092VW,SOIC-16
245,C76695,C5750X7R2A475KT0L0U,C_2220
246,C2167673,C0805C106K8PACTU,C_0805
249,C83852,SS14,SMA
253,C2875080,UM3208UK,TSSOP-20
257,C506653,MCP23017-E/SS,SSOP-28
258,C2868291,ADS1115BQDGSRQ1,VSSOP-10
260,C85841,BLM31PG121SN1L,L_1206
261,C576726,CC0402KRX5R8BB103,C_0402
262,C105956,C0805X223K251T,C_0805
263,C883598,GRM31CR61A107MEA8L,C_1206
264,C160977,BLM15PX601SN1D,L_0402
266,C105871,RC0402FR-074K7L,R_0402
267,C112291,RC0402FR-07220RL,R_0402
268,C11692,"0402WGF1242TCE",R_0402
269,C874542,YC248-FR-0722RL,"0402_8x"
270,C32843,W5500,LQFP-48
275,C106231,RC0402FR-070RL,R_0402
276,C2911374,ESP32-C3-MINI-1U-N4,ESP32-C3-M-1U
277,"356-ESP32C3MINI1UN4X",ESP32-C3-MINI-1U-N4X,ESP32-C3-M-1U
